# xm ym zm mi ms mf
# 122 6
# 122 6
 5.22757032e-01  1.61231941e-01  1.41959512e-01  1.41959512e-01  0.00000000e+00  1.00000000e+00
 8.01321988e-01  1.76663536e-01  1.06872613e-01  1.06872613e-01  0.00000000e+00  1.00000000e+00
 1.79757787e-01  8.25234935e-01  1.03775773e-01  1.03775773e-01  0.00000000e+00  1.00000000e+00
 3.95781721e-01  4.64741391e-01  1.34111442e-01  1.34111442e-01  0.00000000e+00  1.00000000e+00
 6.46013379e-01  9.03905210e-02  1.28766746e-01  1.28766746e-01  0.00000000e+00  1.00000000e+00
 9.05308609e-01  8.62730150e-02  9.55680203e-02  9.55680203e-02  0.00000000e+00  1.00000000e+00
 8.62730150e-02  9.05308609e-01  9.55680203e-02  9.55680203e-02  0.00000000e+00  1.00000000e+00
 2.92672505e-01  5.36220692e-01  1.34051202e-01  1.34051202e-01  0.00000000e+00  1.00000000e+00
 1.58922683e-01  7.05416680e-01  1.19572809e-01  1.19572809e-01  0.00000000e+00  1.00000000e+00
 5.24637493e-01  2.91909661e-01  1.35375844e-01  1.35375844e-01  0.00000000e+00  1.00000000e+00
 8.39997122e-01  3.43330203e-01  9.58118314e-02  9.58118314e-02  0.00000000e+00  1.00000000e+00
 3.73479109e-01  3.32091944e-01  1.47562486e-01  1.47562486e-01  0.00000000e+00  1.00000000e+00
 5.51415193e-01  7.27868261e-01  9.51014985e-02  9.51014985e-02  0.00000000e+00  1.00000000e+00
 3.76743653e-01  7.08414198e-02  1.60027658e-01  1.60027658e-01  0.00000000e+00  1.00000000e+00
 6.54379114e-02  6.18823687e-01  1.32610826e-01  1.32610826e-01  0.00000000e+00  1.00000000e+00
 7.81883280e-02  3.80572805e-01  1.59522882e-01  1.59522882e-01  0.00000000e+00  1.00000000e+00
 7.34523126e-01  4.23881206e-01  1.03330926e-01  1.03330926e-01  0.00000000e+00  1.00000000e+00
 1.43626239e-01  4.99396492e-01  1.45240116e-01  1.45240116e-01  0.00000000e+00  1.00000000e+00
 1.44337567e-01  6.10042340e-02  1.76469885e-01  1.76469885e-01  0.00000000e+00  1.00000000e+00
 6.10042340e-02  1.44337567e-01  1.76469885e-01  1.76469885e-01  0.00000000e+00  1.00000000e+00
 6.01249805e-01  6.06017145e-01  1.02612183e-01  1.02612183e-01  0.00000000e+00  1.00000000e+00
 4.09197704e-01  7.45425661e-01  1.03037038e-01  1.03037038e-01  0.00000000e+00  1.00000000e+00
 1.39192562e-01  2.74910372e-01  1.66793429e-01  1.66793429e-01  0.00000000e+00  1.00000000e+00
 3.07968949e-01  6.58907547e-01  1.19022703e-01  1.19022703e-01  0.00000000e+00  1.00000000e+00
