 # xb yb zb ideal background shim total error
# 8       697
# 8       697
-0.30000000E+00 -0.84000000E+00  0.00000000E+00  0.24979160E+01  0.25114580E+01 -0.12451273E-01  0.24990067E+01  0.10907168E-02
-0.24000000E+00 -0.84000000E+00  0.00000000E+00  0.24993331E+01  0.25121665E+01 -0.11221831E-01  0.25009447E+01  0.16116290E-02
-0.18000000E+00 -0.84000000E+00  0.00000000E+00  0.25004955E+01  0.25127478E+01 -0.11066075E-01  0.25016817E+01  0.11861553E-02
-0.12000000E+00 -0.84000000E+00  0.00000000E+00  0.25013597E+01  0.25131799E+01 -0.11261709E-01  0.25019182E+01  0.55844079E-03
-0.60000000E-01 -0.84000000E+00  0.00000000E+00  0.25018922E+01  0.25134461E+01 -0.11432967E-01  0.25020131E+01  0.12092275E-03
 0.00000000E+00 -0.84000000E+00  0.00000000E+00  0.25020721E+01  0.25135360E+01 -0.11248920E-01  0.25022871E+01  0.21502962E-03
 0.60000000E-01 -0.84000000E+00  0.00000000E+00  0.25018922E+01  0.25134461E+01 -0.11231200E-01  0.25022149E+01  0.32268990E-03
 0.12000000E+00 -0.84000000E+00  0.00000000E+00  0.25013597E+01  0.25131799E+01 -0.11408936E-01  0.25017709E+01  0.41121412E-03
 0.18000000E+00 -0.84000000E+00  0.00000000E+00  0.25004955E+01  0.25127478E+01 -0.11588864E-01  0.25011589E+01  0.66336618E-03
 0.24000000E+00 -0.84000000E+00  0.00000000E+00  0.24993331E+01  0.25121665E+01 -0.12052498E-01  0.25001140E+01  0.78096198E-03
 0.30000000E+00 -0.84000000E+00  0.00000000E+00  0.24979160E+01  0.25114580E+01 -0.13423242E-01  0.24980348E+01  0.11874783E-03
-0.42000000E+00 -0.78000000E+00  0.00000000E+00  0.24983790E+01  0.25116895E+01 -0.12156417E-01  0.24995331E+01  0.11540933E-02
-0.36000000E+00 -0.78000000E+00  0.00000000E+00  0.25004955E+01  0.25127478E+01 -0.12979789E-01  0.24997680E+01 -0.72755905E-03
-0.30000000E+00 -0.78000000E+00  0.00000000E+00  0.25024355E+01  0.25137177E+01 -0.12276029E-01  0.25014417E+01 -0.99375865E-03
-0.24000000E+00 -0.78000000E+00  0.00000000E+00  0.25041320E+01  0.25145660E+01 -0.10940159E-01  0.25036258E+01 -0.50615911E-03
-0.18000000E+00 -0.78000000E+00  0.00000000E+00  0.25055237E+01  0.25152618E+01 -0.10649917E-01  0.25046119E+01 -0.91176727E-03
-0.12000000E+00 -0.78000000E+00  0.00000000E+00  0.25065583E+01  0.25157792E+01 -0.10216487E-01  0.25055627E+01 -0.99564746E-03
-0.60000000E-01 -0.78000000E+00  0.00000000E+00  0.25071958E+01  0.25160979E+01 -0.97553820E-02  0.25063425E+01 -0.85330199E-03
 0.00000000E+00 -0.78000000E+00  0.00000000E+00  0.25074112E+01  0.25162056E+01 -0.96031094E-02  0.25066025E+01 -0.80869936E-03
 0.60000000E-01 -0.78000000E+00  0.00000000E+00  0.25071958E+01  0.25160979E+01 -0.96941804E-02  0.25064037E+01 -0.79210039E-03
 0.12000000E+00 -0.78000000E+00  0.00000000E+00  0.25065583E+01  0.25157792E+01 -0.10056576E-01  0.25057226E+01 -0.83573588E-03
 0.18000000E+00 -0.78000000E+00  0.00000000E+00  0.25055237E+01  0.25152618E+01 -0.10279854E-01  0.25049820E+01 -0.54170374E-03
 0.24000000E+00 -0.78000000E+00  0.00000000E+00  0.25041320E+01  0.25145660E+01 -0.10678768E-01  0.25038872E+01 -0.24476793E-03
 0.30000000E+00 -0.78000000E+00  0.00000000E+00  0.25024355E+01  0.25137177E+01 -0.12165879E-01  0.25015519E+01 -0.88360853E-03
 0.36000000E+00 -0.78000000E+00  0.00000000E+00  0.25004955E+01  0.25127478E+01 -0.12298453E-01  0.25004493E+01 -0.46222516E-04
 0.42000000E+00 -0.78000000E+00  0.00000000E+00  0.24983790E+01  0.25116895E+01 -0.11499090E-01  0.25001904E+01  0.18114203E-02
-0.48000000E+00 -0.72000000E+00  0.00000000E+00  0.24999907E+01  0.25124954E+01 -0.12314453E-01  0.25001809E+01  0.19020720E-03
-0.42000000E+00 -0.72000000E+00  0.00000000E+00  0.25026190E+01  0.25138095E+01 -0.11457532E-01  0.25023520E+01 -0.26703205E-03
-0.36000000E+00 -0.72000000E+00  0.00000000E+00  0.25051194E+01  0.25150597E+01 -0.10723737E-01  0.25043360E+01 -0.78344718E-03
-0.30000000E+00 -0.72000000E+00  0.00000000E+00  0.25074112E+01  0.25162056E+01 -0.91676178E-02  0.25070380E+01 -0.37320776E-03
-0.24000000E+00 -0.72000000E+00  0.00000000E+00  0.25094154E+01  0.25172077E+01 -0.78722532E-02  0.25093354E+01 -0.79943186E-04
-0.18000000E+00 -0.72000000E+00  0.00000000E+00  0.25110595E+01  0.25180298E+01 -0.73713501E-02  0.25106584E+01 -0.40109007E-03
-0.12000000E+00 -0.72000000E+00  0.00000000E+00  0.25122817E+01  0.25186409E+01 -0.64756930E-02  0.25121652E+01 -0.11655297E-03
-0.60000000E-01 -0.72000000E+00  0.00000000E+00  0.25130349E+01  0.25190174E+01 -0.51444299E-02  0.25138730E+01  0.83813009E-03
 0.00000000E+00 -0.72000000E+00  0.00000000E+00  0.25132893E+01  0.25191446E+01 -0.44959574E-02  0.25146487E+01  0.13593926E-02
 0.60000000E-01 -0.72000000E+00  0.00000000E+00  0.25130349E+01  0.25190174E+01 -0.51965129E-02  0.25138209E+01  0.78604715E-03
 0.12000000E+00 -0.72000000E+00  0.00000000E+00  0.25122817E+01  0.25186409E+01 -0.61041163E-02  0.25125368E+01  0.25502370E-03
 0.18000000E+00 -0.72000000E+00  0.00000000E+00  0.25110595E+01  0.25180298E+01 -0.66275096E-02  0.25114022E+01  0.34275041E-03
 0.24000000E+00 -0.72000000E+00  0.00000000E+00  0.25094154E+01  0.25172077E+01 -0.73168006E-02  0.25098909E+01  0.47550936E-03
 0.30000000E+00 -0.72000000E+00  0.00000000E+00  0.25074112E+01  0.25162056E+01 -0.88244368E-02  0.25073812E+01 -0.30026811E-04
 0.36000000E+00 -0.72000000E+00  0.00000000E+00  0.25051194E+01  0.25150597E+01 -0.10583108E-01  0.25044766E+01 -0.64281839E-03
 0.42000000E+00 -0.72000000E+00  0.00000000E+00  0.25026190E+01  0.25138095E+01 -0.11402437E-01  0.25024071E+01 -0.21193736E-03
 0.48000000E+00 -0.72000000E+00  0.00000000E+00  0.24999907E+01  0.25124954E+01 -0.11924989E-01  0.25005704E+01  0.57967109E-03
-0.60000000E+00 -0.66000000E+00  0.00000000E+00  0.24979160E+01  0.25114580E+01 -0.12598090E-01  0.24988599E+01  0.94389980E-03
-0.54000000E+00 -0.66000000E+00  0.00000000E+00  0.25010106E+01  0.25130053E+01 -0.12802469E-01  0.25002028E+01 -0.80775880E-03
-0.48000000E+00 -0.66000000E+00  0.00000000E+00  0.25041320E+01  0.25145660E+01 -0.10522884E-01  0.25040431E+01 -0.88884465E-04
-0.42000000E+00 -0.66000000E+00  0.00000000E+00  0.25071958E+01  0.25160979E+01 -0.86122830E-02  0.25074856E+01  0.28979700E-03
-0.36000000E+00 -0.66000000E+00  0.00000000E+00  0.25101106E+01  0.25175553E+01 -0.68062450E-02  0.25107491E+01  0.63844500E-03
-0.30000000E+00 -0.66000000E+00  0.00000000E+00  0.25127822E+01  0.25188911E+01 -0.48149285E-02  0.25140762E+01  0.12940015E-02
