# iter ic avg(dBz) std(dBz) min(dBz) max(dBz) rmse(dBz)
     0      1 -0.11011253E-02  0.11007243E-01 -0.25000000E-01  0.13541990E-01  0.11007322E-01
     1      1 -0.87636985E-03  0.88184512E-02 -0.20089131E-01  0.11187701E-01  0.88185137E-02
     2      1 -0.65141281E-03  0.66330144E-02 -0.15169834E-01  0.88343672E-02  0.66330603E-02
     3      1 -0.44865161E-03  0.46730981E-02 -0.10732476E-01  0.67185063E-02  0.46731290E-02
     4      1 -0.28274490E-03  0.30873325E-02 -0.70992873E-02  0.49921954E-02  0.30873511E-02
     5      1 -0.15921470E-03  0.19401241E-02 -0.43932908E-02  0.37111123E-02  0.19401335E-02
     6      1 -0.75609941E-04  0.12244444E-02 -0.25623748E-02  0.28471859E-02  0.12244478E-02
     7      1 -0.24387701E-04  0.87296739E-03 -0.22057134E-02  0.23201125E-02  0.87296788E-03
     8      1  0.38546626E-05  0.75233138E-03 -0.21564859E-02  0.22138787E-02  0.75233139E-03
     9      1  0.17768431E-04  0.72399508E-03 -0.21323254E-02  0.22166300E-02  0.72399539E-03
    10      1  0.23813303E-04  0.71914899E-03 -0.21218713E-02  0.22177620E-02  0.71914956E-03
