 # xm_ ym_ zm_ mi_ ms_ mf_
#       122        6
#       122        6
 0.52275703E+00  0.16123194E+00  0.14195951E+00  0.14195951E+00  0.00000000E+00  0.10000000E+01
 0.80132199E+00  0.17666354E+00  0.10687261E+00  0.10687261E+00  0.00000000E+00  0.10000000E+01
 0.17975779E+00  0.82523494E+00  0.10377577E+00  0.10377577E+00  0.00000000E+00  0.10000000E+01
 0.39578172E+00  0.46474139E+00  0.13411144E+00  0.13411144E+00  0.00000000E+00  0.10000000E+01
 0.64601338E+00  0.90390521E-01  0.12876675E+00  0.12876675E+00  0.00000000E+00  0.10000000E+01
 0.90530861E+00  0.86273015E-01  0.95568020E-01  0.95568020E-01  0.00000000E+00  0.10000000E+01
 0.86273015E-01  0.90530861E+00  0.95568020E-01  0.95568020E-01  0.00000000E+00  0.10000000E+01
 0.29267251E+00  0.53622069E+00  0.13405120E+00  0.13405120E+00  0.00000000E+00  0.10000000E+01
 0.15892268E+00  0.70541668E+00  0.11957281E+00  0.11957281E+00  0.00000000E+00  0.10000000E+01
 0.52463749E+00  0.29190966E+00  0.13537584E+00  0.13537584E+00  0.00000000E+00  0.10000000E+01
 0.83999712E+00  0.34333020E+00  0.95811831E-01  0.95811831E-01  0.00000000E+00  0.10000000E+01
 0.37347911E+00  0.33209194E+00  0.14756249E+00  0.14756249E+00  0.00000000E+00  0.10000000E+01
 0.55141519E+00  0.72786826E+00  0.95101499E-01  0.95101499E-01  0.00000000E+00  0.10000000E+01
 0.37674365E+00  0.70841420E-01  0.16002766E+00  0.16002766E+00  0.00000000E+00  0.10000000E+01
 0.65437911E-01  0.61882369E+00  0.13261083E+00  0.13261083E+00  0.00000000E+00  0.10000000E+01
 0.78188328E-01  0.38057281E+00  0.15952288E+00  0.15952288E+00  0.00000000E+00  0.10000000E+01
 0.73452313E+00  0.42388121E+00  0.10333093E+00  0.10333093E+00  0.00000000E+00  0.10000000E+01
 0.14362624E+00  0.49939649E+00  0.14524012E+00  0.14524012E+00  0.00000000E+00  0.10000000E+01
 0.14433757E+00  0.61004234E-01  0.17646988E+00  0.17646988E+00  0.00000000E+00  0.10000000E+01
 0.61004234E-01  0.14433757E+00  0.17646988E+00  0.17646988E+00  0.00000000E+00  0.10000000E+01
 0.60124981E+00  0.60601715E+00  0.10261218E+00  0.10261218E+00  0.00000000E+00  0.10000000E+01
 0.40919770E+00  0.74542566E+00  0.10303704E+00  0.10303704E+00  0.00000000E+00  0.10000000E+01
 0.13919256E+00  0.27491037E+00  0.16679343E+00  0.16679343E+00  0.00000000E+00  0.10000000E+01
 0.30796895E+00  0.65890755E+00  0.11902270E+00  0.11902270E+00  0.00000000E+00  0.10000000E+01
 0.74087868E+00  0.56919294E+00  0.92489052E-01  0.92489052E-01  0.00000000E+00  0.10000000E+01
 0.27108122E+00  0.13184565E+00  0.16733815E+00  0.16733815E+00  0.00000000E+00  0.10000000E+01
 0.34642445E+00  0.86391007E+00  0.92919533E-01  0.92919533E-01  0.00000000E+00  0.10000000E+01
 0.61439512E+00  0.38789226E+00  0.11911644E+00  0.11911644E+00  0.00000000E+00  0.10000000E+01
 0.26593621E+00  0.26241846E+00  0.16096899E+00  0.16096899E+00  0.00000000E+00  0.10000000E+01
 0.53409467E+00  0.50099260E+00  0.11837145E+00  0.11837145E+00  0.00000000E+00  0.10000000E+01
 0.52275703E+00 -0.16123194E+00  0.14195951E+00  0.14195951E+00  0.00000000E+00  0.10000000E+01
 0.80132199E+00 -0.17666354E+00  0.10687261E+00  0.10687261E+00  0.00000000E+00  0.10000000E+01
 0.17975779E+00 -0.82523494E+00  0.10377577E+00  0.10377577E+00  0.00000000E+00  0.10000000E+01
 0.39578172E+00 -0.46474139E+00  0.13411144E+00  0.13411144E+00  0.00000000E+00  0.10000000E+01
 0.64601338E+00 -0.90390521E-01  0.12876675E+00  0.12876675E+00  0.00000000E+00  0.10000000E+01
 0.86273015E-01 -0.90530861E+00  0.95568020E-01  0.95568020E-01  0.00000000E+00  0.10000000E+01
 0.90530861E+00 -0.86273015E-01  0.95568020E-01  0.95568020E-01  0.00000000E+00  0.10000000E+01
 0.29267251E+00 -0.53622069E+00  0.13405120E+00  0.13405120E+00  0.00000000E+00  0.10000000E+01
 0.15892268E+00 -0.70541668E+00  0.11957281E+00  0.11957281E+00  0.00000000E+00  0.10000000E+01
 0.52463749E+00 -0.29190966E+00  0.13537584E+00  0.13537584E+00  0.00000000E+00  0.10000000E+01
